EXTERNAL_DOC_REFERENCE;EXTERNAL_ORDER_REFERENCE;USER_REASON;CODE_SUPPLIER;TRACKING_NUMBER;LOCATION_TO;DELIVERY_AREA;IS_OVERSUPPLY;PARCEL_QUANTITY;DELIVERY_DATE;EXTERNAL_LINE_REFERENCE;CODE_ARTICLE;EXPECTED_QUANTITY;PARCEL;PALLET;STATUS
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;f31cf270-2684-4073-9d11-198b4776c815;8056006441271;15;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;d13a948c-3ee2-41e8-b780-e620f38c80ee;8056006614354;60;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;8bbdb2aa-2635-4a8e-8070-de8c12951cd9;8056006427565;69;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;42855885-717a-4736-a007-55758f6999d8;8056006489075;18;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;e0846d2a-4c5b-4494-8e5a-cc01febbbef8;8056006441264;45;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;7fb5d9a4-8bad-420a-afec-1ed8e1312ffa;8056006427558;81;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;ccf02151-9309-49d1-8f0c-0839ac34c153;8050949829417;7;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;632abea5-87aa-4230-8f94-d02b7e6e2cdf;8056006427572;28;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;bd4f3a21-238c-49d9-8d5d-69df7e6f580d;8056006614149;28;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;f2a72582-b671-4501-9ef4-bfded3e1dc56;8056006614378;15;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;18968c37-5219-4755-8aec-f323442de083;8056006489051;7;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;2f99e243-7d3e-4a3d-ae43-198948e61aa5;8050949829424;22;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;6af15f86-2639-42b0-93e0-4f68caeb08cd;8050949829950;64;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;fdb23325-099c-47e1-bb69-114f5503f216;8056006441240;27;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;e9014f3f-dc51-4542-8c83-4b088d8d06cb;8056006614163;1;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;a2ca7e27-330f-4222-a7c4-cd0d00472258;8056006614347;27;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;f6ee682b-437a-42a0-894c-6d56c3499316;8056006440304;28;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;ae8f53cc-f465-43b5-ad4b-7bdb17936178;8056006676819;191;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;c7f1a7fc-1946-480b-8d96-dfe6c9a8f2a5;8050949829967;21;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;7391c16d-87b4-4fbd-9c21-56ce0253aad3;8050949829448;18;63758;;to_check
