TYPE_MOUVEMENT;CODE_ARTICLE;TYPE_BARCODE;BARCODE
M;031427468917;;8059552901039
M;031427468915;;8059552885148
M;031427468916;;8059552899848
M;031427468919;;8059552878034
M;031427468922;;8059552878072
M;031427468920;;8059552878041
M;031427468921;;8059552878065
M;031427468923;;8059552886053
M;031427468924;;8059552886060
M;031427468926;;8059552885490
M;031427468925;;8059552900193
M;031427468927;;8059552876351
M;031427468928;;8059552876368
M;031427468929;;8059552876382
M;389727505374;;8400005691777
M;389727505372;;8400005691753
M;389727505375;;8400005691784
M;389727505373;;8400005691760
M;389727505370;;8400005691982
M;389727505371;;8400005691999
M;389727505379;;8400005691821
M;389727505376;;8400005691791
M;389727505377;;8400005691807
M;389727505378;;8400005691814
M;389727505380;;8400005691838
M;389727505384;;8400005660971
M;389727505383;;8400005691869
M;389727505381;;8400005691845
M;389727505382;;8400005691852
M;389727505388;;8400005661015
M;389727505385;;8400005660988
M;389727505386;;8400005660995
M;389727505387;;8400005661008
M;389727505389;;8400005661022
M;389727505390;;8400005661039
M;389727505391;;8400005661046
M;389727505392;;8400005661053
M;389727505393;;8400005661060
M;389727505394;;8400005661077
M;389727505398;;8400005663545
M;389727505395;;8400005661084
M;389727505396;;8400005663521
M;389727505397;;8400005663538
M;389727505399;;8400005663552
M;389727505400;;8400005663569
M;389727505401;;8400005663576
M;389727505402;;8400005663583
M;389727505403;;8400005663590
M;389727505407;;8400005639106
M;389727505405;;8400005663613
M;389727505404;;8400005663606
M;389727505406;;8400005639090
M;389727505408;;8400005639113
M;389727505412;;8400005639151
M;389727505409;;8400005639120
M;389727505410;;8400005639137
M;389727505411;;8400005639144
M;389727505413;;8400005639168
M;389727505416;;8400005639199
M;389727505417;;8400005639205
M;389727505414;;8400005639175
M;389727505415;;8400005639182
M;389727505421;;8400005638925
M;389727505418;;8400005639212
M;389727505419;;8400005639229
M;389727505420;;8400005639236
M;389727505422;;8400005638932
M;389727505423;;8400005638949
M;389727505424;;8400005638956
M;389727505425;;8400005638963
M;389727505426;;8400005638970
M;389727505427;;8400005638987
M;389727505431;;8400005639021
M;389727505428;;8400005638994
M;389727505429;;8400005639007
M;389727505430;;8400005639014
M;389727505435;;8400005639069
M;389727505432;;8400005639038
M;389727505433;;8400005639045
M;389727505434;;8400005639052
M;389727505436;;8400005638758
M;389727505439;;8400005638789
M;389727505440;;8400005638796
M;389727505437;;8400005638765
M;389727505438;;8400005638772
M;389727505441;;8400005638802
M;389727505445;;8400005638840
M;389727505442;;8400005638819
M;389727505443;;8400005638826
M;389727505444;;8400005638833
M;389727505446;;8400005638857
M;389727505447;;8400005638864
M;389727505448;;8400005638871
M;389727505449;;8400005638888
M;389727505450;;8400005638895
M;389727505454;;8400005651733
M;389727505452;;8400005651719
M;389727505451;;8400005651702
M;389727505453;;8400005651726
M;389727505455;;8400005651740
M;389727505459;;8400005651788
M;389727505456;;8400005651757
M;389727505457;;8400005651764
M;389727505458;;8400005651771
M;031426675673;;8056896502748
M;031426675679;;8056896502922
M;031426675678;;8058137247050
M;031426675672;;8055207648052
M;031426675671;;8056896502694
M;031426675674;;8056896502854
M;031426675675;;8058137286899
M;031426675670;;8055207709258
M;031426675676;;8055207649356
M;031426675677;;8056896502885
M;031426675680;;8055207708459
M;031426675681;;8058137247074
M;031426675682;;8056896400693
M;031426675683;;8056896502991
M;031426675684;;8056896401874
M;031426676160;;8056896605708
M;031426676159;;8056896605715
M;031426676096;;8056896603841
M;031426676097;;8056896603902
M;031426676094;;8056896603810
M;031426676095;;8056896603889
M;031426676098;;8056896579542
M;031426676099;;8056896603933
M;031426676100;;8056896579535
M;031426676137;;8058137009672
M;031426676138;;8058137009658
M;031426676139;;8058137009665
M;031426676140;;8056896578859
M;031426676141;;8058137009740
M;031426676142;;8055207549915
M;031426676143;;8058137021742
M;031426676144;;8056896569604
M;031426676145;;8056896569598
M;031426676146;;8056896569628
M;031426676147;;8056896569611
M;031426676148;;8056896605487
M;031426676149;;8056896605531
M;031426676150;;8056896605579
M;031426676151;;8056896582900
M;031426676152;;8056896605609
M;031426676153;;8056896605647
M;031426676154;;8056896605654
M;031426676155;;8056896605623
M;031426676156;;8056896605630
M;031426676157;;8056896575889
M;031426676158;;8056896575926
M;031426676162;;8056896575896
M;031426676163;;8056896582894
M;031426676165;;8056896605838
M;031426676164;;8056896605845
M;031426676181;;8056896606187
M;031426676182;;8056896606248
M;031426676166;;8056896579504
M;031426676167;;8056896605852
M;031426676168;;8056896582917
M;031426676169;;8056896605906
M;031426676170;;8056896580302
M;031426676171;;8056896575834
M;031426676172;;8056896582955
M;031426676173;;8056896575773
M;031426676174;;8056896606033
M;031426676176;;8056896586182
M;031426676177;;8056896578873
M;031426676178;;8056896578613
M;031426676179;;8056896606149
M;031426676180;;8056896606156
M;389727505271;;8400003208700
M;389727505268;;8400003208670
M;389727505269;;8400003208687
M;389727505270;;8400003208694
M;389727505272;;8400005672721
M;031426676183;;8056896575865
M;031426676185;;8056896579511
M;031426676186;;8056896606323
M;031426676187;;8056896575827
M;031426676189;;8056896606378
M;031426676190;;8056896606361
M;031426676191;;8056896580326
M;031426676192;;8056896575919
M;031426676193;;8056896606446
M;031426676194;;8056896575872
M;389727505266;;8400003208656
M;389727505267;;8400003208663
M;389727505273;;8400005672738
M;389727505274;;8400005672745
M;389727505275;;8400005672752
M;389727505276;;8400005672769
M;389727505277;;8400005672776
M;389727505281;;8400005672639
M;389727505279;;8400005672790
M;389727505278;;8400005672783
M;389727505280;;8400005672806
M;389727505285;;8400005672677
M;389727505282;;8400005672646
M;389727505283;;8400005672653
M;389727505284;;8400005672660
M;389727505286;;8400005672684
M;389727505287;;8400005672691
M;389727505288;;8400005672707
M;389727505289;;8400005672714
M;389727505290;;8400005655021
M;389727505291;;8400005655038
M;389727505295;;8400005655076
M;389727505292;;8400005655045
M;389727505293;;8400005655052
M;389727505294;;8400005655069
M;389727505296;;8400005655083
M;389727505297;;8400005655090
M;389727505298;;8400005655137
M;389727505299;;8400005655144
M;389727505300;;8400005655151
M;389727505304;;8400005655199
M;389727505301;;8400005655168
M;389727505302;;8400005655175
M;389727505303;;8400005655182
M;389727505305;;8400005655205
M;389727505309;;8400005653607
M;389727505306;;8400005653577
M;389727505307;;8400005653584
M;389727505308;;8400005653591
M;389727505310;;8400005653614
M;389727505311;;8400005653621
M;389727505312;;8400005653638
M;389727505313;;8400005653645
M;389727505314;;8400005668786
M;389727505318;;8400005668823
M;389727505315;;8400005668793
M;389727505316;;8400005668809
M;389727505317;;8400005668816
M;389727505319;;8400005668830
M;389727505320;;8400005668847
M;389727505321;;8400005668854
M;389727505322;;8400005668861
M;389727505323;;8400005668878
M;389727505324;;8400005668885
M;389727505328;;8400005668939
M;389727505325;;8400005668892
M;389727505326;;8400005668915
M;389727505327;;8400005668922
M;389727505332;;8400005668977
M;389727505329;;8400005668946
M;389727505330;;8400005668953
M;389727505331;;8400005668960
M;389727505333;;8400005668984
M;389727505336;;8400005669011
M;389727505337;;8400005669028
M;389727505334;;8400005668991
M;389727505335;;8400005669004
M;389727505341;;8400005691272
M;389727505338;;8400005691241
