TYPE_ATTRIBUT;CODE_ATTRIBUT;LIBELLE_ATTRIBUT;TYPE_ATTRIBUT_PARENT;CODE_ATTRIBUT_PARENT
FAMILLE;Brakes - Rim - Spare Parts;Brakes - Rim - Spare Parts;RAYON;wolfis
FAMILLE;Buoyancy Short;Buoyancy Short;RAYON;wolfis
FAMILLE;Cable;Cable;RAYON;wolfis
FAMILLE;Cable - Accessories;Cable - Accessories;RAYON;wolfis
FAMILLE;Cable - Brake;Cable - Brake;RAYON;wolfis
FAMILLE;Cable - Shift;Cable - Shift;RAYON;wolfis
FAMILLE;Cable Accessory;Cable Accessory;RAYON;wolfis
FAMILLE;Calf Sleeves;Calf Sleeves;RAYON;wolfis
FAMILLE;Campagnolo EPS - Accessories;Campagnolo EPS - Accessories;RAYON;wolfis
FAMILLE;Cap;Cap;RAYON;wolfis
FAMILLE;Car Bike Rack Extension;Car Bike Rack Extension;RAYON;wolfis
FAMILLE;Car Seat Adapter;Car Seat Adapter;RAYON;wolfis
FAMILLE;Cargo Carrier;Cargo Carrier;RAYON;wolfis
FAMILLE;Carrying Bag;Carrying Bag;RAYON;wolfis
FAMILLE;Case;Case;RAYON;wolfis
FAMILLE;Cassette;Cassette;RAYON;wolfis
FAMILLE;Cassette - Replacement Parts;Cassette - Replacement Parts;RAYON;wolfis
FAMILLE;Catalogue;Catalogue;RAYON;wolfis
FAMILLE;Cervelo Replacement Parts;Cervelo Replacement Parts;RAYON;wolfis
FAMILLE;Chain;Chain;RAYON;wolfis
FAMILLE;Chain Catcher;Chain Catcher;RAYON;wolfis
FAMILLE;Chain Cleaner;Chain Cleaner;RAYON;wolfis
FAMILLE;Chain Connectors;Chain Connectors;RAYON;wolfis
FAMILLE;Chain Guide;Chain Guide;RAYON;wolfis
FAMILLE;Chain Protection;Chain Protection;RAYON;wolfis
FAMILLE;Chain Tool;Chain Tool;RAYON;wolfis
FAMILLE;Chain Wax;Chain Wax;RAYON;wolfis
FAMILLE;Chain Waxing System;Chain Waxing System;RAYON;wolfis
FAMILLE;Chainring;Chainring;RAYON;wolfis
FAMILLE;Chainrings;Chainrings;RAYON;wolfis
FAMILLE;Chainrings - Spare Parts;Chainrings - Spare Parts;RAYON;wolfis
FAMILLE;Chains;Chains;RAYON;wolfis
FAMILLE;Charger;Charger;RAYON;wolfis
FAMILLE;Charging Case;Charging Case;RAYON;wolfis
FAMILLE;Child Seat;Child Seat;RAYON;wolfis
FAMILLE;Child Seat - Spare Parts;Child Seat - Spare Parts;RAYON;wolfis
FAMILLE;City Bike;City Bike;RAYON;wolfis
FAMILLE;Clamp;Clamp;RAYON;wolfis
FAMILLE;Cleaning Kit;Cleaning Kit;RAYON;wolfis
FAMILLE;Cleaning Material;Cleaning Material;RAYON;wolfis
FAMILLE;Cleat Cover;Cleat Cover;RAYON;wolfis
FAMILLE;Cleat Parts;Cleat Parts;RAYON;wolfis
FAMILLE;cleat tools;cleat tools;RAYON;wolfis
FAMILLE;Cleats;Cleats;RAYON;wolfis
FAMILLE;Clincher;Clincher;RAYON;wolfis
