TYPE_ATTRIBUT;CODE_ATTRIBUT;LIBELLE_ATTRIBUT;TYPE_ATTRIBUT_PARENT;CODE_ATTRIBUT_PARENT
FAMILLE;Rental Rack;Rental Rack;RAYON;wolfis
FAMILLE;Rental Shockwiz;Rental Shockwiz;RAYON;wolfis
FAMILLE;Rental Wheel;Rental Wheel;RAYON;wolfis
FAMILLE;Repair;Repair;RAYON;wolfis
FAMILLE;Repair Stands;Repair Stands;RAYON;wolfis
FAMILLE;Repair Stands - Accessories;Repair Stands - Accessories;RAYON;wolfis
FAMILLE;Replacement;Replacement;RAYON;wolfis
FAMILLE;Replacement Lens;Replacement Lens;RAYON;wolfis
FAMILLE;Replacement Pad;Replacement Pad;RAYON;wolfis
FAMILLE;Replacement Part;Replacement Part;RAYON;wolfis
FAMILLE;Rim;Rim;RAYON;wolfis
FAMILLE;Rim Brake;Rim Brake;RAYON;wolfis
FAMILLE;Rim Tape;Rim Tape;RAYON;wolfis
FAMILLE;Riser;Riser;RAYON;wolfis
FAMILLE;Road Bike;Road Bike;RAYON;wolfis
FAMILLE;Road Frame;Road Frame;RAYON;wolfis
FAMILLE;Road Frameset;Road Frameset;RAYON;wolfis
FAMILLE;Road Shoe;Road Shoe;RAYON;wolfis
FAMILLE;Road Shoes;Road Shoes;RAYON;wolfis
FAMILLE;Road Suit Men;Road Suit Men;RAYON;wolfis
FAMILLE;Road Suit Women;Road Suit Women;RAYON;wolfis
FAMILLE;Road/Gravel;Road/Gravel;RAYON;wolfis
FAMILLE;RockShox;RockShox;RAYON;wolfis
FAMILLE;Rockshox - Spare Parts;Rockshox - Spare Parts;RAYON;wolfis
FAMILLE;Roof Bike Rack;Roof Bike Rack;RAYON;wolfis
FAMILLE;Roof Bike Rack Bar;Roof Bike Rack Bar;RAYON;wolfis
FAMILLE;Roof Box;Roof Box;RAYON;wolfis
FAMILLE;Roof Rack;Roof Rack;RAYON;wolfis
FAMILLE;Roof Rack - Accessories;Roof Rack - Accessories;RAYON;wolfis
FAMILLE;Roof Rack Baskets;Roof Rack Baskets;RAYON;wolfis
FAMILLE;Rotors;Rotors;RAYON;wolfis
FAMILLE;Running Shoe;Running Shoe;RAYON;wolfis
FAMILLE;Running Shoes;Running Shoes;RAYON;wolfis
FAMILLE;Saddle;Saddle;RAYON;wolfis
FAMILLE;Saddle Bag;Saddle Bag;RAYON;wolfis
FAMILLE;Saddle Clamp;Saddle Clamp;RAYON;wolfis
FAMILLE;Saddle Gel Cover;Saddle Gel Cover;RAYON;wolfis
FAMILLE;Saddle Rail;Saddle Rail;RAYON;wolfis
FAMILLE;Saddle Rail Adapter;Saddle Rail Adapter;RAYON;wolfis
FAMILLE;Scarf;Scarf;RAYON;wolfis
FAMILLE;Scicon - Spare Parts;Scicon - Spare Parts;RAYON;wolfis
FAMILLE;scooter;scooter;RAYON;wolfis
FAMILLE;Scott - Spare Parts;Scott - Spare Parts;RAYON;wolfis
FAMILLE;Scott - Spare PartsU3C2:T3C2:S3C2:S2;Scott - Spare PartsU3C2:T3C2:S3C2:S2;RAYON;wolfis
FAMILLE;Scott - Stationaries;Scott - Stationaries;RAYON;wolfis
FAMILLE;screen protector;screen protector;RAYON;wolfis
FAMILLE;Screws;Screws;RAYON;wolfis
FAMILLE;Sealant;Sealant;RAYON;wolfis
FAMILLE;Sealant Tool;Sealant Tool;RAYON;wolfis
FAMILLE;Seasucker - Spare Parts;Seasucker - Spare Parts;RAYON;wolfis
FAMILLE;Seatpost;Seatpost;RAYON;wolfis
FAMILLE;Seatpost - Accessories;Seatpost - Accessories;RAYON;wolfis
FAMILLE;Seatpost - Replacement Part;Seatpost - Replacement Part;RAYON;wolfis
FAMILLE;Seatpost Clamp;Seatpost Clamp;RAYON;wolfis
FAMILLE;Seatpost Dropper;Seatpost Dropper;RAYON;wolfis
FAMILLE;Seatpost Dropper - Service Kit;Seatpost Dropper - Service Kit;RAYON;wolfis
FAMILLE;Seatpost Dropper - Spare Parts;Seatpost Dropper - Spare Parts;RAYON;wolfis
FAMILLE;Seatposts - Telescoping;Seatposts - Telescoping;RAYON;wolfis
FAMILLE;Sensor;Sensor;RAYON;wolfis
FAMILLE;Sensor Patch;Sensor Patch;RAYON;wolfis
FAMILLE;Service;Service;RAYON;wolfis
FAMILLE;Service Kit;Service Kit;RAYON;wolfis
FAMILLE;Session Packages;Session Packages;RAYON;wolfis
FAMILLE;Session Packages-12 months;Session Packages-12 months;RAYON;wolfis
FAMILLE;Session Packages-3 months;Session Packages-3 months;RAYON;wolfis
FAMILLE;Session Packages-6 months;Session Packages-6 months;RAYON;wolfis
FAMILLE;Shift/Brake - Spare Parts;Shift/Brake - Spare Parts;RAYON;wolfis
FAMILLE;Shift/Brake Levers;Shift/Brake Levers;RAYON;wolfis
FAMILLE;Shift-Brake Lever;Shift-Brake Lever;RAYON;wolfis
FAMILLE;Shifters - Electric;Shifters - Electric;RAYON;wolfis
FAMILLE;Shifters - Lever;Shifters - Lever;RAYON;wolfis
FAMILLE;Shifters - Spare Parts;Shifters - Spare Parts;RAYON;wolfis
FAMILLE;Shimano Di2 - Accessories;Shimano Di2 - Accessories;RAYON;wolfis
FAMILLE;Shimano Di2 - Spare Parts;Shimano Di2 - Spare Parts;RAYON;wolfis
FAMILLE;Shipping Charges;Shipping Charges;RAYON;wolfis
FAMILLE;Shirt;Shirt;RAYON;wolfis
FAMILLE;Shirt Men;Shirt Men;RAYON;wolfis
FAMILLE;Shock Drive;Shock Drive;RAYON;wolfis
FAMILLE;Shock Pump;Shock Pump;RAYON;wolfis
FAMILLE;Shockwiz - Spare Parts;Shockwiz - Spare Parts;RAYON;wolfis
FAMILLE;Shoe Accessories;Shoe Accessories;RAYON;wolfis
FAMILLE;Shoe Bag;Shoe Bag;RAYON;wolfis
FAMILLE;Shoe Brush;Shoe Brush;RAYON;wolfis
FAMILLE;Shoe Cleaning Brush;Shoe Cleaning Brush;RAYON;wolfis
FAMILLE;Shoe Cleaning Kit;Shoe Cleaning Kit;RAYON;wolfis
FAMILLE;Shoe Cover;Shoe Cover;RAYON;wolfis
FAMILLE;Shoe Protection;Shoe Protection;RAYON;wolfis
FAMILLE;Shoe shield;Shoe shield;RAYON;wolfis
FAMILLE;Shoes;Shoes;RAYON;wolfis
FAMILLE;Shoes - Accessories;Shoes - Accessories;RAYON;wolfis
FAMILLE;Shoes - Replacement Part;Shoes - Replacement Part;RAYON;wolfis
FAMILLE;Shopify;Shopify;RAYON;wolfis
FAMILLE;Shorts;Shorts;RAYON;wolfis
FAMILLE;Shorts Kids;Shorts Kids;RAYON;wolfis
FAMILLE;Shorts Men;Shorts Men;RAYON;wolfis
FAMILLE;Shorts Women;Shorts Women;RAYON;wolfis
FAMILLE;Silca - Spare Parts;Silca - Spare Parts;RAYON;wolfis
FAMILLE;Silicon Patch;Silicon Patch;RAYON;wolfis
FAMILLE;Single Wheel Service;Single Wheel Service;RAYON;wolfis
FAMILLE;Sink;Sink;RAYON;wolfis
FAMILLE;Skin Suit;Skin Suit;RAYON;wolfis
FAMILLE;Skin Suit Men;Skin Suit Men;RAYON;wolfis
FAMILLE;Skin Suit Women;Skin Suit Women;RAYON;wolfis
FAMILLE;Sleep Monitor;Sleep Monitor;RAYON;wolfis
FAMILLE;Slip On Slippers;Slip On Slippers;RAYON;wolfis
FAMILLE;Smart Phone Holder;Smart Phone Holder;RAYON;wolfis
FAMILLE;Smart Phone Mount;Smart Phone Mount;RAYON;wolfis
FAMILLE;Smartwatch;Smartwatch;RAYON;wolfis
FAMILLE;Sock;Sock;RAYON;wolfis
FAMILLE;Socks;Socks;RAYON;wolfis
FAMILLE;Souvenir;Souvenir;RAYON;wolfis
FAMILLE;Spare Key;Spare Key;RAYON;wolfis
FAMILLE;Spare Part;Spare Part;RAYON;wolfis
FAMILLE;Spare Parts;Spare Parts;RAYON;wolfis
FAMILLE;Speedsuit;Speedsuit;RAYON;wolfis
FAMILLE;Speedsuit Men;Speedsuit Men;RAYON;wolfis
FAMILLE;Speedsuit Women;Speedsuit Women;RAYON;wolfis
FAMILLE;Spider Assembly;Spider Assembly;RAYON;wolfis
FAMILLE;Spider Assembly - Spare Parts;Spider Assembly - Spare Parts;RAYON;wolfis
FAMILLE;Spoke;Spoke;RAYON;wolfis
FAMILLE;Spokes;Spokes;RAYON;wolfis
FAMILLE;SPROCKET;SPROCKET;RAYON;wolfis
FAMILLE;Sram eTap - Accessories;Sram eTap - Accessories;RAYON;wolfis
FAMILLE;Stabilizer;Stabilizer;RAYON;wolfis
FAMILLE;Stem;Stem;RAYON;wolfis
FAMILLE;Stem - Spare Parts;Stem - Spare Parts;RAYON;wolfis
FAMILLE;Storage;Storage;RAYON;wolfis
FAMILLE;Storage Charges;Storage Charges;RAYON;wolfis
FAMILLE;Storage Solution;Storage Solution;RAYON;wolfis
FAMILLE;Strap;Strap;RAYON;wolfis
FAMILLE;Stroller;Stroller;RAYON;wolfis
FAMILLE;Stroller - Accessories;Stroller - Accessories;RAYON;wolfis
FAMILLE;Support Bra;Support Bra;RAYON;wolfis
FAMILLE;Suspension Fork;Suspension Fork;RAYON;wolfis
FAMILLE;Suspension Fork - Accessories;Suspension Fork - Accessories;RAYON;wolfis
FAMILLE;Suspension Fork - Replacement Parts;Suspension Fork - Replacement Parts;RAYON;wolfis
FAMILLE;Suspension Fork - Service Kit;Suspension Fork - Service Kit;RAYON;wolfis
FAMILLE;Suspension Oil;Suspension Oil;RAYON;wolfis
FAMILLE;Suspension Rear;Suspension Rear;RAYON;wolfis
FAMILLE;Suspension Rear - Accessories;Suspension Rear - Accessories;RAYON;wolfis
FAMILLE;Suspension Rear - Replacement Parts;Suspension Rear - Replacement Parts;RAYON;wolfis
FAMILLE;Sweat Cover;Sweat Cover;RAYON;wolfis
FAMILLE;Sweatshirt Men;Sweatshirt Men;RAYON;wolfis
FAMILLE;Sweatshirt Unisex Custom;Sweatshirt Unisex Custom;RAYON;wolfis
FAMILLE;Swimming Goggles;Swimming Goggles;RAYON;wolfis
FAMILLE;Swimskin Men;Swimskin Men;RAYON;wolfis
FAMILLE;Swimskin Womens;Swimskin Womens;RAYON;wolfis
FAMILLE;Tank;Tank;RAYON;wolfis
FAMILLE;Tape Accessory;Tape Accessory;RAYON;wolfis
FAMILLE;Tee;Tee;RAYON;wolfis
FAMILLE;Tee Men;Tee Men;RAYON;wolfis
FAMILLE;Tee Women;Tee Women;RAYON;wolfis
FAMILLE;Tent;Tent;RAYON;wolfis
FAMILLE;Thermal Jersey;Thermal Jersey;RAYON;wolfis
FAMILLE;Thru Axle;Thru Axle;RAYON;wolfis
FAMILLE;Thule Spare Parts;Thule Spare Parts;RAYON;wolfis
FAMILLE;Tight;Tight;RAYON;wolfis
FAMILLE;Tight Men;Tight Men;RAYON;wolfis
FAMILLE;Tight Women;Tight Women;RAYON;wolfis
FAMILLE;Tights Men;Tights Men;RAYON;wolfis
FAMILLE;Tights Women;Tights Women;RAYON;wolfis
FAMILLE;Tire;Tire;RAYON;wolfis
FAMILLE;Tire Insert;Tire Insert;RAYON;wolfis
FAMILLE;Tire Lever;Tire Lever;RAYON;wolfis
FAMILLE;Tire Pressure Gauge;Tire Pressure Gauge;RAYON;wolfis
FAMILLE;Tire Pressure Sensor;Tire Pressure Sensor;RAYON;wolfis
FAMILLE;Tires;Tires;RAYON;wolfis
FAMILLE;Toe Clips;Toe Clips;RAYON;wolfis
FAMILLE;Toe Cover;Toe Cover;RAYON;wolfis
FAMILLE;Tool;Tool;RAYON;wolfis
FAMILLE;Tool Box;Tool Box;RAYON;wolfis
FAMILLE;Tools;Tools;RAYON;wolfis
FAMILLE;Top Cap;Top Cap;RAYON;wolfis
FAMILLE;Top Tube Bag;Top Tube Bag;RAYON;wolfis
FAMILLE;Tops;Tops;RAYON;wolfis
FAMILLE;Torque Wrench;Torque Wrench;RAYON;wolfis
FAMILLE;Tow Ball;Tow Ball;RAYON;wolfis
FAMILLE;Tow Bar;Tow Bar;RAYON;wolfis
FAMILLE;Tower Stand Rack;Tower Stand Rack;RAYON;wolfis
FAMILLE;Track Bike;Track Bike;RAYON;wolfis
FAMILLE;Trailer;Trailer;RAYON;wolfis
FAMILLE;Trailer - Accessories;Trailer - Accessories;RAYON;wolfis
FAMILLE;Trailer - Spare Parts;Trailer - Spare Parts;RAYON;wolfis
FAMILLE;Trainers;Trainers;RAYON;wolfis
FAMILLE;Trainers - Accessories;Trainers - Accessories;RAYON;wolfis
FAMILLE;Trainers - Spare Parts;Trainers - Spare Parts;RAYON;wolfis
FAMILLE;Trainers - Upgrade Kits;Trainers - Upgrade Kits;RAYON;wolfis
FAMILLE;Triathlon Bike;Triathlon Bike;RAYON;wolfis
FAMILLE;Triathlon Frame;Triathlon Frame;RAYON;wolfis
FAMILLE;Triathlon Shoe;Triathlon Shoe;RAYON;wolfis
FAMILLE;Triathlon Shoes;Triathlon Shoes;RAYON;wolfis
FAMILLE;Triathlon Shorts Men;Triathlon Shorts Men;RAYON;wolfis
FAMILLE;Triathlon Shorts Women;Triathlon Shorts Women;RAYON;wolfis
FAMILLE;Triathlon Suit Men;Triathlon Suit Men;RAYON;wolfis
FAMILLE;Triathlon Suit Women;Triathlon Suit Women;RAYON;wolfis
FAMILLE;Tricon Service Kits;Tricon Service Kits;RAYON;wolfis
FAMILLE;Truck Bed;Truck Bed;RAYON;wolfis
FAMILLE;Truing Gauge;Truing Gauge;RAYON;wolfis
FAMILLE;T-shirt;T-shirt;RAYON;wolfis
FAMILLE;T-shirt Men;T-shirt Men;RAYON;wolfis
FAMILLE;T-shirt Women;T-shirt Women;RAYON;wolfis
FAMILLE;Tube;Tube;RAYON;wolfis
FAMILLE;Tube Valve Caps;Tube Valve Caps;RAYON;wolfis
FAMILLE;Tubeless Kit;Tubeless Kit;RAYON;wolfis
FAMILLE;Tubeless Rim Tape;Tubeless Rim Tape;RAYON;wolfis
FAMILLE;Tubeless Setup Kit;Tubeless Setup Kit;RAYON;wolfis
FAMILLE;Tubeless Valve;Tubeless Valve;RAYON;wolfis
FAMILLE;Tubular;Tubular;RAYON;wolfis
FAMILLE;Tubular Rim Tape;Tubular Rim Tape;RAYON;wolfis
FAMILLE;Underwear Men;Underwear Men;RAYON;wolfis
FAMILLE;Underwear Women;Underwear Women;RAYON;wolfis
FAMILLE;Upgrade Kit;Upgrade Kit;RAYON;wolfis
FAMILLE;Urban;Urban;RAYON;wolfis
FAMILLE;Urban Tire;Urban Tire;RAYON;wolfis
FAMILLE;Urban/Kids;Urban/Kids;RAYON;wolfis
FAMILLE;Urban/Kids Tube;Urban/Kids Tube;RAYON;wolfis
FAMILLE;Valve Adapter;Valve Adapter;RAYON;wolfis
FAMILLE;valve extender;valve extender;RAYON;wolfis
FAMILLE;Valve Extension;Valve Extension;RAYON;wolfis
FAMILLE;Vest;Vest;RAYON;wolfis
FAMILLE;Vest Men;Vest Men;RAYON;wolfis
FAMILLE;Vest Women;Vest Women;RAYON;wolfis
FAMILLE;Vify Gift Card;Vify Gift Card;RAYON;wolfis
FAMILLE;Visor;Visor;RAYON;wolfis
FAMILLE;Wall Hook;Wall Hook;RAYON;wolfis
FAMILLE;Warmer;Warmer;RAYON;wolfis
FAMILLE;Washer;Washer;RAYON;wolfis
FAMILLE;Watch;Watch;RAYON;wolfis
FAMILLE;Watch Strap;Watch Strap;RAYON;wolfis
FAMILLE;Water Tank;Water Tank;RAYON;wolfis
FAMILLE;Wax;Wax;RAYON;wolfis
FAMILLE;WBS Stationary;WBS Stationary;RAYON;wolfis
FAMILLE;Wedge;Wedge;RAYON;wolfis
FAMILLE;Wet Suite Short;Wet Suite Short;RAYON;wolfis
FAMILLE;Wheel;Wheel;RAYON;wolfis
FAMILLE;Wheel Bag;Wheel Bag;RAYON;wolfis
FAMILLE;Wheel Conversion Caps;Wheel Conversion Caps;RAYON;wolfis
FAMILLE;Wheels;Wheels;RAYON;wolfis
FAMILLE;Wireless unit;Wireless unit;RAYON;wolfis
FAMILLE;Workshop Service;Workshop Service;RAYON;wolfis
FAMILLE;XC/Trail Tire;XC/Trail Tire;RAYON;wolfis
